UF;COD. UF;COD. MUNIC;name_muni;pop
SP;35;22703;Itápolis;42343
SP;35;22802;Itaporanga;15115
SP;35;22901;Itapuí;13328
SP;35;23008;Itapura;4717
SP;35;23107;Itaquaquecetuba;352801
SP;35;23206;Itararé;50105
SP;35;23305;Itariri;16759
SP;35;23404;Itatiba;113284
SP;35;23503;Itatinga;19738
SP;35;23602;Itirapina;17160
SP;35;23701;Itirapuã;6321
SP;35;23800;Itobi;7831
SP;35;23909;Itu;167095
SP;35;24006;Itupeva;54128
SP;35;24105;Ituverava;40994
SP;35;24204;Jaborandi;6882
SP;35;24303;Jaboticabal;75820
SP;35;24402;Jacareí;226539
SP;35;24501;Jaci;6486
SP;35;24600;Jacupiranga;17851
SP;35;24709;Jaguariúna;51907
SP;35;24808;Jales;48922
SP;35;24907;Jambeiro;6092
SP;35;25003;Jandira;118832
SP;35;25102;Jardinópolis;41799
SP;35;25201;Jarinu;27473
SP;35;25300;Jaú;143283
SP;35;25409;Jeriquara;3216
SP;35;25508;Joanópolis;12725
SP;35;25607;João Ramalho;4416
SP;35;25706;José Bonifácio;35538
SP;35;25805;Júlio Mesquita;4687
SP;35;25854;Jumirim;3142
SP;35;25904;Jundiaí;401896
SP;35;26001;Junqueirópolis;20066
SP;35;26100;Juquiá;19359
SP;35;26209;Juquitiba;30642
SP;35;26308;Lagoinha;4954
SP;35;26407;Laranjal Paulista;27384
SP;35;26506;Lavínia;10590
SP;35;26605;Lavrinhas;7052
SP;35;26704;Leme;99388
SP;35;26803;Lençóis Paulista;66131
SP;35;26902;Limeira;296440
SP;35;27009;Lindóia;7485
SP;35;27108;Lins;76092
SP;35;27207;Lorena;87178
SP;35;27256;Lourdes;2249
SP;35;27306;Louveira;43862
SP;35;27405;Lucélia;21196
SP;35;27504;Lucianópolis;2364
SP;35;27603;Luís Antônio;13378
SP;35;27702;Luiziânia;5511
SP;35;27801;Lupércio;4549
SP;35;27900;Lutécia;2729
SP;35;28007;Macatuba;17013
SP;35;28106;Macaubal;8033
SP;35;28205;Macedônia;3746
SP;35;28304;Magda;3215
SP;35;28403;Mairinque;46015
SP;35;28502;Mairiporã;92323
SP;35;28601;Manduri;9592
SP;35;28700;Marabá Paulista;5435
SP;35;28809;Maracaí;13913
SP;35;28858;Marapoama;2885
SP;35;28908;Mariápolis;4072
SP;35;29005;Marília;232006
SP;35;29104;Marinópolis;2150
SP;35;29203;Martinópolis;25805
SP;35;29302;Matão;81439
SP;35;29401;Mauá;453286
SP;35;29500;Mendonça;5161
SP;35;29609;Meridiano;3912
SP;35;29658;Mesópolis;1931
SP;35;29708;Miguelópolis;21728
SP;35;29807;Mineiros Do Tietê;12700
SP;35;30003;Mira Estrela;3007
SP;35;29906;Miracatu;20533
SP;35;30102;Mirandópolis;29043
SP;35;30201;Mirante Do Paranapanema;17979
SP;35;30300;Mirassol;57857
SP;35;30409;Mirassolândia;4668
SP;35;30508;Mococa;68797
SP;35;30607;Mogi Das Cruzes;424633
SP;35;30706;Mogi Guaçu;147233
SP;35;30805;Moji Mirim;91483
SP;35;30904;Mombuca;3441
SP;35;31001;Monções;2235
SP;35;31100;Mongaguá;52492
SP;35;31209;Monte Alegre Do Sul;7736
SP;35;31308;Monte Alto;49456
SP;35;31407;Monte Aprazível;23857
SP;35;31506;Monte Azul Paulista;19304
SP;35;31605;Monte Castelo;4188
SP;35;31803;Monte Mor;55409
SP;35;31704;Monteiro Lobato;4467
SP;35;31902;Morro Agudo;31620
SP;35;32009;Morungaba;12934
SP;35;32058;Motuca;4607
SP;35;32108;Murutinga Do Sul;4415
SP;35;32157;Nantes;2979
SP;35;32207;Narandiba;4657
SP;35;32306;Natividade Da Serra;6786
SP;35;32405;Nazaré Paulista;17794
SP;35;32504;Neves Paulista;9008
SP;35;32603;Nhandeara;11303
SP;35;32702;Nipoã;4835
SP;35;32801;Nova Aliança;6555
SP;35;32827;Nova Campina;9307
SP;35;32843;Nova Canaã Paulista;2032
SP;35;32868;Nova Castilho;1217
SP;35;32900;Nova Europa;10439
SP;35;33007;Nova Granada;20717
SP;35;33106;Nova Guataporanga;2288
SP;35;33205;Nova Independência;3588
SP;35;33304;Nova Luzitânia;3843
SP;35;33403;Nova Odessa;56764
SP;35;33254;Novais;5313
SP;35;33502;Novo Horizonte;39543
SP;35;33601;Nuporanga;7255
SP;35;33700;Ocauçu;4302
SP;35;33809;Óleo;2628
SP;35;33908;Olímpia;53360
SP;35;34005;Onda Verde;4209
SP;35;34104;Oriente;6421
SP;35;34203;Orindiúva;6493
SP;35;34302;Orlândia;42678
SP;35;34401;Osasco;694844
SP;35;34500;Oscar Bressane;2615
SP;35;34609;Osvaldo Cruz;32475
SP;35;34708;Ourinhos;110282
SP;35;34807;Ouro Verde;8330
SP;35;34757;Ouroeste;9564
SP;35;34906;Pacaembu;13961
SP;35;35002;Palestina;12231
SP;35;35101;Palmares Paulista;12336
SP;35;35200;Palmeira D'oeste;9596
SP;35;35309;Palmital;22094
SP;35;35408;Panorama;15458
SP;35;35507;Paraguaçu Paulista;44794
SP;35;35606;Paraibuna;18125
SP;35;35705;Paraíso;6290
SP;35;35804;Paranapanema;19357
SP;35;35903;Paranapuã;4018
SP;35;36000;Parapuã;11098
SP;35;36109;Pardinho;6122
SP;35;36208;Pariquera-Açu;19391
SP;35;36257;Parisi;2134
SP;35;36307;Patrocínio Paulista;14093
SP;35;36406;Paulicéia;6981
SP;35;36505;Paulínia;97702
SP;35;36570;Paulistânia;1839
SP;35;36604;Paulo De Faria;8924
SP;35;36703;Pederneiras;44910
SP;35;36802;Pedra Bela;6044
SP;35;36901;Pedranópolis;2570
SP;35;37008;Pedregulho;16517
SP;35;37107;Pedreira;45579
SP;35;37156;Pedrinhas Paulista;3071
SP;35;37206;Pedro De Toledo;10967
SP;35;37305;Penápolis;62071
SP;35;37404;Pereira Barreto;25767
SP;35;37503;Pereiras;8213
SP;35;37602;Peruíbe;65226
SP;35;37701;Piacatu;5739
SP;35;37800;Piedade;54717
SP;35;37909;Pilar Do Sul;28309
SP;35;38006;Pindamonhangaba;160614
SP;35;38105;Pindorama;16342
SP;35;38204;Pinhalzinho;14423
SP;35;38303;Piquerobi;3679
SP;35;38501;Piquete;14123
SP;35;38600;Piracaia;26688
SP;35;38709;Piracicaba;391449
SP;35;38808;Piraju;29664
SP;35;38907;Pirajuí;24546
SP;35;39004;Pirangi;11220
SP;35;39103;Pirapora Do Bom Jesus;17646
SP;35;39202;Pirapozinho;26594
SP;35;39301;Pirassununga;74587
SP;35;39400;Piratininga;13093
SP;35;39509;Pitangueiras;38211
SP;35;39608;Planalto;4941
SP;35;39707;Platina;3434
SP;35;39806;Poá;113793
SP;35;39905;Poloni;5833
SP;35;40002;Pompéia;21375
SP;35;40101;Pongaí;3508
SP;35;40200;Pontal;45978
SP;35;40259;Pontalinda;4433
SP;35;40309;Pontes Gestal;2593
SP;35;40408;Populina;4269
SP;35;40507;Porangaba;9299
SP;35;40606;Porto Feliz;51928
SP;35;40705;Porto Ferreira;54761
SP;35;40754;Potim;22453
SP;35;40804;Potirendaba;16709
SP;35;40853;Pracinha;3547
SP;35;40903;Pradópolis;19814
SP;35;41000;Praia Grande;299261
SP;35;41059;Pratânia;5021
SP;35;41109;Presidente Alves;4179
SP;35;41208;Presidente Bernardes;13568
SP;35;41307;Presidente Epitácio;43535
SP;35;41406;Presidente Prudente;222192
SP;35;41505;Presidente Venceslau;39407
SP;35;41604;Promissão;38764
SP;35;41653;Quadra;3587
SP;35;41703;Quatá;13702
SP;35;41802;Queiroz;3166
SP;35;41901;Queluz;12600
SP;35;42008;Quintana;6437
SP;35;42107;Rafard;9004
SP;35;42206;Rancharia;29778
SP;35;42305;Redenção Da Serra;3930
SP;35;42404;Regente Feijó;19733
SP;35;42503;Reginópolis;8640
SP;35;42602;Registro;56280
SP;35;42701;Restinga;7223
SP;35;42800;Ribeira;3408
SP;35;42909;Ribeirão Bonito;12909
SP;35;43006;Ribeirão Branco;17646
SP;35;43105;Ribeirão Corrente;4579
SP;35;43204;Ribeirão Do Sul;4573
SP;35;43238;Ribeirão Dos Índios;2245
SP;35;43253;Ribeirão Grande;7682
SP;35;43303;Ribeirão Pires;120396
SP;35;43402;Ribeirão Preto;666323
SP;35;43600;Rifaina;3597
SP;35;43709;Rincão;10796
SP;35;43808;Rinópolis;10133
SP;35;43907;Rio Claro;199961
SP;35;44004;Rio Das Pedras;32982
SP;35;44103;Rio Grande Da Serra;48302
SP;35;44202;Riolândia;11766
SP;35;43501;Riversul;5941
SP;35;44251;Rosana;18459
SP;35;44301;Roseira;10344
SP;35;44400;Rubiácea;2983
SP;35;44509;Rubinéia;3060
SP;35;44608;Sabino;5502
SP;35;44707;Sagres;2456
SP;35;44806;Sales;6002
SP;35;44905;Sales Oliveira;11438
SP;35;45001;Salesópolis;16688
SP;35;45100;Salmourão;5152
SP;35;45159;Saltinho;7818
SP;35;45209;Salto;114171
SP;35;45308;Salto De Pirapora;43574
SP;35;45407;Salto Grande;9223
SP;35;45506;Sandovalina;4076
SP;35;45605;Santa Adélia;15178
SP;35;45704;Santa Albertina;5971
SP;35;45803;Santa Bárbara D'oeste;190139
SP;35;46009;Santa Branca;14534
SP;35;46108;Santa Clara D'oeste;2137
SP;35;46207;Santa Cruz Da Conceição;4332
SP;35;46256;Santa Cruz Da Esperança;2084
SP;35;46306;Santa Cruz Das Palmeiras;32749
SP;35;46405;Santa Cruz Do Rio Pardo;46633
SP;35;46504;Santa Ernestina;5681
SP;35;46603;Santa Fé Do Sul;31348
SP;35;46702;Santa Gertrudes;24737
SP;35;46801;Santa Isabel;54926
SP;35;46900;Santa Lúcia;8687
SP;35;47007;Santa Maria Da Serra;5902
SP;35;47106;Santa Mercedes;2937
SP;35;47502;Santa Rita Do Passa Quatro;27502
SP;35;47403;Santa Rita D'oeste;2564
